Date,Open,High,Low,Close
12/22/14,42537.69141,42873.01172,42536.96094,42873.01172
12/23/14,42874.33984,43124.85156,42853.12109,43122.73047
12/24/14,43118.96875,43120.51953,42942.80078,43002.87109
12/26/14,null,null,null,null
12/29/14,43005.67188,43320.12891,43004.05859,43187.64063
12/30/14,43179.57031,43340.55859,42872.17188,43018.75
12/31/14,43015.25,43191.69922,42877.55078,43145.66016
1/2/15,43146.51953,43325.42969,41989.64844,42115.46875
1/5/15,42134.66016,42147.96094,40824.92969,41099.37109
1/6/15,41101.01172,41456.62109,40723.66016,41329.41016
1/7/15,41331.12109,41963.94922,41331.12109,41813.92969
1/8/15,41819.03906,42554.41016,41814.21094,42402.30859
1/9/15,42393.17188,42504.41016,41940.48828,42382.41016
1/12/15,42373.80859,42408.64844,41773.37891,41780.78125
1/13/15,41781.03906,42211.08984,41313.35156,41478.26172
1/14/15,41478.37891,41479.78125,40907.48047,40984.21875
1/15/15,40991.48047,41260.46094,40817.87109,40998.76953
1/16/15,40999.05859,41402.07813,40859.69141,41402.01172
1/19/15,41412.17969,41566.92969,41210.05859,41285.57813
1/20/15,41286.57813,41974,41129.12109,41752.67188
1/21/15,41753.48047,42491.10156,41594.08984,42488.73047
1/22/15,42489.37891,43165.55859,42488.82031,43121.28125
1/23/15,43123.17188,43124.44141,42618.03125,42649.71875
1/26/15,42649.10156,42831.75,42360.73047,42737.85156
1/27/15,42737.85156,42737.85156,42128.23047,42627.82031
1/28/15,42627.82031,42743.46875,42158.07031,42158.07031
1/29/15,42150.80859,42157.17969,41762.42188,41862.32813
1/30/15,41862.62891,41864.21875,40886.85938,40950.57813
2/3/15,40954.62109,41868.37891,40944.80859,41572.23828
2/4/15,41572.23828,42055.25,41553.10938,41710.82031
2/5/15,41709.67969,42469.16016,41708.57813,42453.64063
2/6/15,42447.44922,42880.35156,42447.44922,42715.42969
2/9/15,42705.26172,42876.94922,42474.82813,42810.28906
2/10/15,42811.35938,43159.08984,42635.14844,42635.19141
2/11/15,42630.07031,42630.44922,41901.10938,41933.26172
2/12/15,41925.71875,43046.87891,41897.32031,43045.51172
2/13/15,43032.07813,43250.39063,42954.94141,43072.42188
2/16/15,43074.03125,43141.89063,42886.14844,42959.55859
2/17/15,42959.55859,43264.39063,42613.67969,43251.78906
2/18/15,43246.39844,43484.76953,42823.85156,43053.64844
2/19/15,43043.14844,43310.87109,42865.19922,43231.42188
2/20/15,43223.87891,43569.55078,43080.62109,43551.26172
2/23/15,43536.83984,43680.42188,43446.64844,43675.87109
2/24/15,43672.10156,44033.67188,43629.30859,43921.55078
2/25/15,43915.35938,44008.94141,43635.03906,43802.07031
2/26/15,43798.73047,44417.28906,43723.60156,44416.48828
2/27/15,44408.32813,44439.98828,43983.14063,44190.17188
3/2/15,44179.92969,44279.32813,43560.85156,43882.71094
3/3/15,43875.73828,43906.16016,43519.67969,43600.37109
3/4/15,43598.21094,43605.14063,43130.51953,43296.55078
3/5/15,43284.42969,43783,43155.85156,43517.78906
3/6/15,43510.23828,43517.17188,43129.82031,43280.80859
3/9/15,43280.80859,43350.28906,43003.98828,43251.39844
3/10/15,43246.57031,43246.57031,42674.25,42972.14844
3/11/15,42978.60156,43310.37891,42929.51953,43227.19922
3/12/15,43228.08984,44056.10938,43176.51172,44055.89063
3/13/15,44055.89063,44140.26172,43703.96875,44002.28906
3/17/15,43997.44922,43998.71875,43761.35938,43761.35938
3/18/15,43756.78125,44360.87109,43490.08984,44360.87109
3/19/15,44354.94141,44441.14844,43920.28125,44118.17188
3/20/15,44117.94141,44325.94141,43739.46875,43968.14844
3/23/15,43968.14844,44056.98047,43840.67188,43952.71094
3/24/15,43947.32031,44242.57031,43943.32031,44051.21094
3/25/15,44040.96875,44212.28125,43630.58984,43630.96094
3/26/15,43610.58984,43610.58984,43099.48047,43229.16016
3/27/15,43231.44922,43656.37891,43096.73047,43637.96875
3/30/15,43631.23047,44015.94141,43571.35156,43922.82813
3/31/15,43916.10156,43916.10156,43596.87109,43724.78125
4/1/15,43709.48828,44216.75,43697.44922,44202.94141
4/6/15,44202.87109,44897.03125,43833.89063,44850.05859
4/7/15,44857.07031,45181.42188,44674.94922,44987.87109
4/8/15,44994.30078,45333.96875,44902.48047,44980.55859
4/9/15,44980.55859,45218.75,44891.78906,44913.26953
4/10/15,44913.94141,45009.60938,44745.03125,44882.01172
4/13/15,44881.37109,45061.67969,44864.37891,44994.55859
4/14/15,44989.17188,45072.89844,44773.55859,45004.51953
4/15/15,45003.46875,45443.01953,45001.17969,45262.94141
4/16/15,45256.46875,45483.26172,45094.05078,45480.23047
4/17/15,45482.23828,45485.73828,45012.30078,45012.37109
4/20/15,45019.62109,45206.28125,44958.69141,45077.80859
4/21/15,45077.44141,45433.17188,45077.44141,45296.91016
4/22/15,45294.25,45294.25,45077.57031,45232.03906
4/23/15,45226.10938,45473.83984,45027.5,45418.82813
4/24/15,45418.57813,45773.30859,45248.98047,45773.30859
4/27/15,45767.07813,46078.07031,45490.25,45512.37891
4/28/15,45514.03906,45594.14063,45216.03906,45338.35938
4/29/15,45338.35938,45378.67188,44895.85156,44942.23047
4/30/15,44950.32031,45129.46875,44581.69922,44582.39063
5/4/15,44589.10156,45264.53906,44586.94141,45238.46875
5/5/15,45237.12109,45479.16016,45061.32813,45091.32813
5/6/15,45078.57813,45112.08984,44655.10938,44853.26172
5/7/15,44848.46094,45010.76953,44704.28125,44768.80078
5/8/15,44770.07813,45126.03906,44770.07813,45125.94922
5/11/15,45125.48047,45245.71094,44950.62109,45179.96875
5/12/15,45180.23828,45180.23828,44849.85156,44950.48828
5/13/15,44939.57031,45120.69922,44885.91016,45038.14063
5/14/15,45048.94141,45350.23828,44980.21094,45271.46094
5/15/15,45272.39063,45357.44141,45147.91016,45332.80078
5/18/15,45330.10156,45413.48828,45134.21875,45408.33984
5/19/15,45410.23047,45540.67969,45245.87109,45311.75
5/20/15,45313.67188,45474.17969,45191.60156,45283.46875
5/21/15,45284.60938,45300.07813,45075.76953,45097.39063
5/22/15,45097.39063,45192.89844,44807.73047,44874.03906
5/25/15,44874.12109,44949.98828,44732.96875,44852.28906
5/26/15,44855,44858.89063,44383.53906,44401.39844
5/27/15,44397.07813,44684.19141,44124.58984,44682.58984
5/28/15,44668.98047,44817.64063,44508.76953,44807.30859
5/29/15,44801.35938,44845.12891,44603.62109,44703.62109
6/1/15,44699.55859,44788.58984,44570.01172,44760.10156
6/2/15,44752.53125,45053.51172,44572.87891,44931.48047
6/3/15,44932.28906,45208.48047,44732.55859,44732.71875
6/4/15,44729.21094,44844.73828,44478.28906,44561.10938
6/5/15,44559.48047,44847.96094,44481.94141,44561.94141
6/8/15,44559.78125,44596.19141,44338.21875,44544.05078
6/9/15,44544.35156,44686.07031,44385.76953,44519.21094
6/10/15,44528.67188,44758.41016,44528.67188,44578.28125
6/11/15,44579.35938,44753.96094,44527.17969,44624.73828
6/12/15,44626.89844,44796.83984,44469.48047,44692.5
6/15/15,44697.35938,44698.05859,44217.03906,44395.76172
6/16/15,44389.53906,44812.64063,44139.71875,44722.28125
6/17/15,44719.57813,44889.60938,44666.41016,44792.03906
6/18/15,44788.78906,45159.37891,44732.26953,45120.78906
6/19/15,45120.76953,45177.07813,44933.82031,44973.41016
6/22/15,44971.25,45272.14844,44969.03125,45224.98047
6/23/15,45225.71875,45512.62891,45224.51172,45454.14844
